FrameNumber,Spot ID,X,Y,Z,Radius,Orientation (if meaningful),Length (if meaningful), Fit Background (for FIONA), Gaussian Summed Value (for FIONA), Mean Background (FIONA), Summed Value (for FIONA)
49, 0, -105.937500,-350.406250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
49, 1, 393.406250,-102.687500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
49, 2, -0.031250,-1.187500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
50, 0, -105.875000,-350.906250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
50, 1, 395.000000,-102.125000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
50, 2, 0.437500,-0.093750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
51, 0, -105.156250,-350.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
51, 1, 394.531250,-103.156250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
51, 2, 0.437500,-0.937500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
52, 0, -105.187500,-350.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
52, 1, 394.843750,-103.687500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
52, 2, 0.218750,-1.656250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
53, 0, -105.812500,-350.593750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
53, 1, 396.312500,-102.812500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
53, 2, 0.375000,-1.062500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
54, 0, -105.968750,-350.843750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
54, 1, 395.906250,-102.812500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
54, 2, 0.187500,-1.656250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
55, 0, -105.937500,-350.156250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
55, 1, 397.062500,-102.968750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
55, 2, 0.406250,-1.218750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
56, 0, -104.937500,-351.781250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
56, 1, 397.250000,-103.375000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
56, 2, 0.343750,-1.781250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
57, 0, -105.500000,-350.906250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
57, 1, 396.062500,-103.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
57, 2, 0.218750,-1.062500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
58, 0, -104.968750,-350.812500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
58, 1, 396.468750,-105.062500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
58, 2, 0.343750,-0.625000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
59, 0, -105.000000,-350.500000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
59, 1, 397.187500,-105.062500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
59, 2, 1.031250,-0.843750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
60, 0, -105.500000,-350.437500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
60, 1, 396.406250,-105.406250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
60, 2, 0.343750,-1.156250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
61, 0, -104.093750,-351.906250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
61, 1, 395.812500,-105.718750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
61, 2, 0.000000,-2.406250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
62, 0, -104.937500,-350.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
62, 1, 396.343750,-105.218750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
62, 2, 0.500000,-1.187500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
63, 0, -104.156250,-350.718750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
63, 1, 396.250000,-104.156250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
63, 2, 1.062500,-1.125000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
64, 0, -105.781250,-349.937500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
64, 1, 396.250000,-104.250000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
64, 2, 0.843750,-0.343750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
65, 0, -105.937500,-351.312500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
